Category,Sub Category,Vehicle Make,Model,Type,Part,Size,Brand,Item
KSPG,CONNECTING BEARING,BAJAJ,KUBOTA,KUBOTA,"","10",KSPG,B.249.4.00.013
LEYPARTS,ENGINE,ASHOK LEYLAND,"",AL ENGINE (S1),MAIN BEARING,"",LEYPARTS,F0218210
IPL,PISTON SET,MAHINDRA,MAXIMO,MAXIMO,"","",IPL,"602-11419W-STD"
KSPG,MAIN BEARING,MAHINDRA,PEUGEOT,PEUGEOT,"","60",KSPG,M.221.3.00.063
TALBROS,GASKETS,TOYOTA,INNOVA,FULL GASKET,MLS ( STEEL),"",TALBROS,FS3115MLSWOC
TALBROS,GASKETS,MASSEY FERGUSON,MF 135,HEAD GASKET,DYNA SEAL,"",TALBROS,M2A445
KSPG,CONNECTING BEARING,TATA,SUMO,SUMO(4DL),"","10",KSPG,B.234.4.00.013
LEYPARTS,GEARBOX,ASHOK LEYLAND,"","3 & 4, 39T, 9 SPEED",SLIDING SLEEVE,"",LEYPARTS,F1665711
BANCO,GASKETS,TATA,ACE,W/O CHG AST,FULL GASKET,"",BANCO,"5220229900AST"
TALBROS QHT,TIE ROD,MAN,TRUCK,TIE ROD END,"","",TALBROS QHT,TRE01093PR
KSPG,CAM BUSH,MAN FORCE,MAN FORCE,MAN FORCE,"",STD,KSPG,C.384.5.00.703
BANCO,GASKETS,HYUNDAI,I 10 ERA,MLS(STEEL),HEAD GASKET,"",BANCO,"5224290000MLS"
LEYPARTS,COOLING SYSTEM,ASHOK LEYLAND,"",HOSE ASSY 30CM,HOSES,"",LEYPARTS,P1000519
TIGER POWER,CYLINDER LINER,TATA,ACE,SEMI FINISHED,ACE,STD,TIGER POWER,K2001800188
KSPG,MAIN BEARING,SIMPSON,S4,S4,"","30",KSPG,M.231.3.00.033
LEYPARTS,ENGINE,ASHOK LEYLAND,"",HINO REGULAR,MAIN BEARING,"",LEYPARTS,P0914751
BANCO,GASKETS,TATA,"1210",BANKITE,FULL GASKET,"",BANCO,"52206499PSBKT"
BIMETAL,CONNECTING BEARING,ASHOK LEYLAND,"680","680","","20",BIMETAL,CS 495 020
TALBROS,GASKETS,TATA,"609/709",HEAD GASKET,DYNA SEAL,"",TALBROS,"609DSX"
SUPER PAC,GASKETS,TATA,CUMMINS BSIV,HEAD GASKET,BSIV  GASKET,"",SUPER PAC,MLS3162
IPL,PISTON SET,TATA,"609/709",THIN RING ( EURO II),"","",IPL,"602-12402W/4-STD"
TALBROS,GASKETS,ASHOK LEYLAND,HINO (NON TURBO),FULL GASKET,DYNA SEAL,"",TALBROS,FS3078DS
TALBROS QHT,TIE ROD,TATA,"4923",TIE ROD END LH,"","",TALBROS QHT,TRE01229L
BANCO,GASKETS,MAHINDRA,MAXIMO,MLS(STEEL),HEAD GASKET,"",BANCO,"5580120000MLS"
RBL,BRAKE LINING,ASHOK LEYLAND,"7 INCHES",REAR 10 HOLES,RAF7,STD,RBL,RBL-AL/TP/HLP/3&4-7-STD RAF7
SETCO,UJCROSS,TATA,"14TYRE LOCK TYPE","","","48X135",SETCO,SC-9005
KSPG,MAIN BEARING,MAHINDRA,SCORPIO,SCORPIO,"","20",KSPG,M.333.0.10.023
BANCO,GASKETS,TATA,SUMO/MOBILE/SIERA/SAFAR,SAS,SILENCER PACKING,"",BANCO,"5220463000SAS"
LEYPARTS,SUSPENSION,ASHOK LEYLAND,"",RH,BALL JOINT,"",LEYPARTS,F8350800
BANCO,GASKETS,ASHOK LEYLAND,"401/402",SAL,HALF GASKET,"",BANCO,"53606898PSSAL"
RBL,BRAKE LINING,TATA,"909",FR & RR 12 HOLES,HF7,"1MM",RBL,RBL/T909-EX/1 1MM HF7
BANCO,GASKETS,TATA,"1613(697) TURBO",MLS(STEEL),FULL GASKET,"",BANCO,"5220829900MLS"
IPL,VALVE,ASHOK LEYLAND,HINO,"6 DT ( TURBO)","",STD,IPL,"712-VL10403"
RBL,BRAKE LINING,MAHINDRA,TOURISTER,TOURISTER,RD3205M,STD,RBL,RBL/MN/1 STD RD3205M
KSPG,MAIN BEARING,TATA,ACE,ACE,"","10",KSPG,M.116.0.00.013
BANCO,GASKETS,MARUTI,ALTO LX/800,HLT,MANIFOLD,"",BANCO,"5231130100HLT"
LEYPARTS,BRAKE,ASHOK LEYLAND,"",AUTOMATIC LH-FR,SLACK ADJUSTER,"",LEYPARTS,X8823300
BANCO,GASKETS,TATA,ACE,W/O CHG AST,FULL GASKET,"",BANCO,"5220209910AST"
KSPG,CONNECTING BUSH,MAHINDRA,MAXIMO,MAXIMO,"",STD,KSPG,S.166.5.00.703
TALBROS,GASKETS,TATA,METADOR 305,FULL GASKET,DYNA SEAL,"",TALBROS,FS3064DSX
KSPG,MAIN BEARING,MAHINDRA,MHAWK,"4CYL","","20",KSPG,M.274.3.00.023
BANCO,GASKETS,HONDA,CIVIC (PETROL) (4 CYL),RUB,VALVE COVER,"",BANCO,"5230281500RUB"
TIGER POWER,CYLINDER LINER,HYUNDAI,ACCENT,SEMI FINISHED,CRDI,STD,TIGER POWER,K2006500190
KSPG,THRUST WASHER,MAHINDRA,PEUGEOT,PEUGEOT,"","3",KSPG,W.221.5.00.003
IPL,VALVE,TATA,CUMMINS,BS II,"","15",IPL,"712-VT10211-015"
LEYPARTS,GEARBOX,ASHOK LEYLAND,"","",OIL SEAL,"",LEYPARTS,F2726500
SETCO,CLUTCH RELEASE BEARING,TATA,"380DIA GB-75","","","",SETCO,SCRB-9011
KSPG,CONNECTING BEARING,TATA,INDICA,INDICA,"",STD,KSPG,B.119.4.00.003
LEYPARTS,OILSEALS,ASHOK LEYLAND,"",OUTER,HUB OILSEAL,"",LEYPARTS,F2730500
IPL,KITSET,MAHINDRA,MDI 3200,MDI 3200,"","",IPL,"622-113546192V/1-STD"
LEYPARTS,DRIVELINE,ASHOK LEYLAND,"","90SERIES/1550SERIER",CENTER BEARING RUBBER,"",LEYPARTS,P4500326
TIGER POWER,CYLINDER LINER,TATA,CUMMINS,SEMI FINISHED,COLLAR,"20TH",TIGER POWER,K2005500366
RBL,BRAKE SHOE,MAHINDRA,BOLERO MAXX,"","","",RBL,RBL/BS/090
KSPG,CAM BUSH,TATA,"1612(697)","","",STD (PF),KSPG,C.217.7.00.703
BANCO,GASKETS,TATA,"709 / 1109 TURBO",BEK,FULL GASKET,"",BANCO,"52204999BEK"
IPL,PISTON RING SET,TOYOTA,QUALIS,EI & EII,"","",IPL,"642-9170G-STD"
TRUCKPARTS-COOLANT,COOLANT,"","",BLUE (1:3),"","1LTR",TRUCKPARTS-COOLANT,SC-NC10B
TALBROS,GASKETS,EICHER,CANTER (4CYL),FULL GASKET,EXCEL,"",TALBROS,FSPL222DSXNANM
LEYPARTS,ADHESIVES,ASHOK LEYLAND,"","25GMS",BLUEMAXX,"",LEYPARTS,P7Y00063
RBL,DISCPAD,HYUNDAI,VERNA,"","","",RBL,RBL/DP/060
RBL,BRAKE LINING,AMW,AMW,REAR 14 HOLES,RAF7,Jan-32,RBL,RBL/AMW/R/2 1/32 RAF7
BANCO,GASKETS,MARUTI,CAR/VAN MPFI,RC,VALVE COVER,"",BANCO,"5231171500RC"
LEYPARTS,BRAKE,ASHOK LEYLAND,"","5INCHES,10 HOLES, FRONT (S2)",BRAKE LINING,"",LEYPARTS,PD600525
RBL,BRAKE LINING,ASHOK LEYLAND,IVECO 7 TONS,FR & RR 8 HOLES,"242",Jan-16,RBL,AL/TP/SM/5 1/16 (242)
BANCO,GASKETS,TATA,"1613(697) TURBO",BANKITE,HEAD GASKET,"",BANCO,"52207000PSBKT"
MAHLE,CAMSHAFT,TATA,CUMMINS,BSIII,"","",MAHLE,"770CA40080000"
KAR VALVES,VALVE,TATA,CUMMINS,BS II,"","5",KAR VALVES,KV1823-824
KSPG,CONNECTING BUSH,SIMPSON,P3,"","",STD,KSPG,PS.210.5.00.703
BANCO,GASKETS,TATA,CUMMINS BS 3,PQB,HEAD GASKET,"",BANCO,"5220540000PQB"
TALBROS,TAPPET COVER,TATA,"609/709","","","",TALBROS,"25998CAF"
BANCO,GASKETS,ASHOK LEYLAND,DOST,AST,HALF GASKET,"",BANCO,"5360259800AST"
BANCO,GASKETS,TATA,CUMMINS BS1 / BS2,MTV,HEAD GASKET,"",BANCO,"5220520000MTV"
RBL,DISCPAD,TATA,HEXA,"","","",RBL,RBL/PDP/543
LEYPARTS,ENGINE,ASHOK LEYLAND,"",HINO EIII (7 HOLES),WATER PUMP,"",LEYPARTS,B8763401
LEYPARTS,CLUTCH,ASHOK LEYLAND,"",BOSS (BSII) 310DIA (DIAPHRAGM),COVER ASSEMBLY,"",LEYPARTS,B1M03902
LEYPARTS,CLUTCH,ASHOK LEYLAND,"","14 INCHES",RETAINER SPRING,"",LEYPARTS,B1301504
KSPG,MAIN BEARING,KIRLOSKAR,RA3,RA3,"","60",KSPG,M.038.4.01.063
KSPG,MAIN BEARING KIT,MARUTI,"800 (CAR)","800 (CAR)","","20",KSPG,P.110.3.30.023
BANCO,GASKETS,TATA,"407 TURBO",BANKITE,FULL GASKET,"",BANCO,"52204099PSBKT"
TIGER POWER,CYLINDER LINER,TATA,"1612(97MM)",PRE FINISHED,THIN COLLAR,"40TH",TIGER POWER,K2007601061
BANCO,GASKETS,MAHINDRA TRACTOR,INTERNATIONAL B275,BANKITE,HEAD GASKET,"",BANCO,"56584300PSBKT"
KSPG,CONNECTING BUSH,LOMBARDINI,LOMBARDINI 500,"","",STD,KSPG,S.604.5.00.703
KSPG,MAIN BEARING,TATA,"1612(697)","1612(697)","","50",KSPG,M.246.3.00.053
TIGER POWER,CYLINDER LINER,ASHOK LEYLAND,HINO,PRE FINISHED,Z SLEEVE,STD,TIGER POWER,K2009501860
KAR VALVES,VALVE,MAHINDRA,MAXIMO,CRDI,"",STD,KAR VALVES,KV1245-246
LEYPARTS,SUSPENSION,ASHOK LEYLAND,"",RH,TIE ROD ASSY,"",LEYPARTS,P2410739
TIGER POWER,CYLINDER LINER,TATA,"407",SEMI FINISHED,THICK COLLAR (BS3),STD,TIGER POWER,K2007000860
BANCO,GASKETS,ASHOK LEYLAND,"370/411/412 BS II",HLT,OIL PUMP TO DELIVERY PIPE,"",BANCO,"5360645708HLT"
KSPG,CONNECTING BEARING,MAHINDRA,B275,B275,"","20",KSPG,B.304.3.00.023
SETCO,BRAKE LINING,ASHOK LEYLAND,"7 INCHES",FRONT & REAR 10 HOLES,HLP,STD,SETCO,SL-XP-AL/TP/SM/HLP-7 (STD.)
BANCO,GASKETS,TATA,CUMMINS BS1 / BS2,PQB,FULL GASKET,"",BANCO,"5220529900PQB"
TALBROS,GASKETS,ASHOK LEYLAND,HINO (NON TURBO),HALF GASKET,EXCEL,"",TALBROS,HS3078DSNA
LEYPARTS,ENGINE,ASHOK LEYLAND,"","",VALVE PUSH ROD,"",LEYPARTS,B7015004
TALBROS,GASKETS,ASHOK LEYLAND,HINO,FULL GASKET,DYNA SEAL,"",TALBROS,FS3078DSNAWOS
TALBROS,GASKETS,MAHINDRA,PEUGEOT,FULL GASKET,DYNA SEAL,"",TALBROS,FS5050DSX
TIGER POWER,CYLINDER LINER,ASHOK LEYLAND,"400",PRE FINISHED,EURO,"20TH",TIGER POWER,K2000200479
LEYPARTS,GEARBOX,ASHOK LEYLAND,"","6S-850 GB",CIRCLIP KIT,"",LEYPARTS,P5104344
LEYPARTS,BRAKE,ASHOK LEYLAND,"","5 INCHES, 10 HOLES,S1",BRAKE LINING,"",LEYPARTS,PD600524
RBL,BRAKE LINING,MAHINDRA,BOLERO,WITH RIVETS,RD3205M,"1/32",RBL,RBL/MARSHALL/TX/L&S (WR) 1/32 RD3205M
BANCO,GASKETS,TATA,INDICA VX DIESEL,W/O CHG AST,FULL GASKET,"",BANCO,"5220429900AST"
KSPG,THRUST WASHER,MARUTI,RITZ/SWIFT/DEZIRE,PETROL,"","3",KSPG,W.165.3.10.003
KSPG,MAIN BEARING,ESCORT FORD,ESCORT FORD,ESCORT FORD,"","30",KSPG,N.302.3.00.033
KAR VALVES,VALVE,HYUNDAI,EON,EON,"",STD,KAR VALVES,KV1239-240
BANCO,GASKETS,MASSEY FERGUSON,MF 1040,BANKITE,HEAD GASKET,"",BANCO,"5124180000BKT"
ANHAD,TOOL BOX,"","",CANTI LEVER,"","5",ANHAD,"00ATC105"
BANCO,GASKETS,TATA,ACE,W/O CHG AST,FULL GASKET,"",BANCO,"5220229920AST"
BANCO,GASKETS,ASHOK LEYLAND,BS II,SAL,FULL GASKET,"",BANCO,"53607399MSSAL"
KAR VALVES,VALVE,MAHINDRA,AVL/DI,AVL/DI,"",STD,KAR VALVES,KV1701-702
KSPG,MAIN BEARING,TATA,"1210","1210","","10",KSPG,M.207.3.01.013
KSPG,MAIN BEARING,ASHOK LEYLAND,LEYLAND,LEYLAND 370,"","20",KSPG,M.205.3.09.023
RBL,BRAKE LINING,ASHOK LEYLAND,IVECO 9 TONS,FR & RR 12 HOLES,"242",Jan-16,RBL,AL/TP/SM/6 1/16 (242)
TALBROS,GASKETS,TATA,"697",FULL GASKET,DYNA SEAL,"",TALBROS,FS728SBGTCCSMK2
BANCO,GASKETS,ASHOK LEYLAND,"680/690",SAS,MANIFOLD,"",BANCO,"5360673000SAS"
KSPG,MAIN BEARING,ESCORT FORD,ESCORT FORD,ESCORT FORD,"","10",KSPG,N.302.3.00.013
IPL,PISTON RING SET,SIMPSON,S3,"3RV","","",IPL,"642-9755V/3-STD"
BANCO,GASKETS,TATA,"407 TURBO",BANKITE,HEAD GASKET,"",BANCO,"52204000PSBKT"
BANCO,GASKETS,TATA,"1210",COPPER,OVER FLOW WASHER,"",BANCO,"522062W170CU"
BANCO,GASKETS,FORD TRACTOR,FARM TRAC 60,SAL,HALF GASKET,"",BANCO,"5352059810SAL"
TALBROS,GASKETS,TATA,"206",FULL GASKET,DYNA SEAL,"",TALBROS,FS3068DSXWOCE
KSPG,MAIN BEARING,TATA,"709","709","","50",KSPG,M.254.3.00.053
LEYPARTS,GEARBOX,ASHOK LEYLAND,"","17TEETH",COUNTER SHAFT,"",LEYPARTS,F3312011
KSPG,MAIN BEARING,MARUTI,"800 (CAR)","800 (CAR)","","50",KSPG,M.110.3.00.053
BANCO,GASKETS,ASHOK LEYLAND,"680/690",SAL,HALF GASKET,"",BANCO,"53606698PSSAL"
KAR VALVES,VALVE,MAHINDRA,LOGAN,LOGAN,"",STD,KAR VALVES,KV1271-272
KSPG,MAIN BEARING,MARUTI,ASTAR/ZEN ESTILO/ALTO K10,ASTAR/ZEN ESTILO/ALTO K10,"","10",KSPG,M.165.0.00.013
LEYPARTS,ENGINE,ASHOK LEYLAND,"",INLET,VALVE ROCKER,"",LEYPARTS,F3210322
TALBROS QHT,TIE ROD,TATA,"609/709",TIE ROD END,"","",TALBROS QHT,TRE01033PR
TALBROS,GASKETS,FORD,IKON,HEAD GASKET,MLS ( STEEL),"",TALBROS,MLS3132
RBL,BRAKE SHOE,MARUTI,ALTO & WAGONR (BI TYPE),"","","",RBL,RBL/BS/015
KSPG,MAIN BEARING,MAHINDRA,PEUGEOT,PEUGEOT,"",STD,KSPG,M.221.3.00.003
KAR VALVES,VALVE,BAJAJ,KUBOTA,DIESEL,"",STD,KAR VALVES,KV1159-160
IPL,PISTON SET,ASHOK LEYLAND,LEYLAND,"6.65 (EURO 1)","","",IPL,"602-13170W-STD"
TALBROS,GASKETS,MAHINDRA,"575 DI",HALF GASKET,DYNA SEAL,"",TALBROS,HS3070DSX
BANCO,GASKETS,TATA,"1210",MVR,VALVE COVER,"",BANCO,"5220621530MVR"
BANCO,GASKETS,TATA,CUMMINS BS 3,MLS(STEEL),HEAD GASKET,"",BANCO,"5220540000MLS"
KAR VALVES,VALVE,INDUSTRIAL-CUMMINS,VALVE NT,VALVE NT,"",STD,KAR VALVES,KV1882-2V
KAR VALVES,VALVE,TATA,ACE,ACE,"",STD,KAR VALVES,KV1113-114-2V
BANCO,GASKETS,ASHOK LEYLAND,"401/402",SAL,HEAD GASKET,"",BANCO,"53606800PSSAL"
RBL,BRAKE LINING,BHARAT BENZ,BENZ (25T),FR & RR 12 HOLES,R1203HLS,STD,RBL,RBL/RB/T/1 (25T) STD
TIGER POWER,CYLINDER LINER,TATA,"1210(92M)",SEMI FINISHED,"(3.812"")",STD,TIGER POWER,K2008500660
LEYPARTS,GEARBOX,ASHOK LEYLAND,"","4TH GEAR, 28 TEETH",MAIN SHAFT GEARS,"",LEYPARTS,F1609111
RBL,BRAKE LINING,ASHOK LEYLAND,"8 INCHES",REAR 10 HOLES,GT11 HLS,"01-Aug",RBL,AL/TP/HLP/A/10&11 1/8
SPICER,CLUTCH PLATE,ASHOK LEYLAND,"70 SERIES TUSKER","","","",SPICER,SDUJ0070L126
KSPG,MAIN BEARING,TATA,"709","709","",STD,KSPG,M.254.4.00.003
IPL,PISTON SET,ASHOK LEYLAND,HINO,"6D (Non Turbo)","","",IPL,"602-13109W-STD"
RBL,DISCPAD,RENAULT,KWID,"","","",RBL,RBL/PDP/513
TALBROS,GASKETS,PERKINS,P6,FULL GASKET,DYNA SEAL,"",TALBROS,FSM2A471
KSPG,CONNECTING BEARING,TATA,ACE,ACE,"","20",KSPG,B.155.4.00.023
BANCO,GASKETS,TATA,CUMMINS BS1 / BS2,SYR,VALVE STEM SEALS,"",BANCO,"5220521600SYR"
TALBROS,GASKETS,KIRLOSKAR,"1041",HEAD GASKET,EXCEL,"",TALBROS,"3087DSXNA"
RBL,BRAKE LINING,ASHOK LEYLAND,"6 INCHES",REAR 8 HOLES,HF7,"01-Aug",RBL,RW/19/20/1 1/8 HF7
BANCO,GASKETS,TATA,ACE,HYT,CHAMBER PACKING,"",BANCO,"5220201080HYT"
BANCO,GASKETS,ASHOK LEYLAND,"370/411/412 BS II",SAL,HALF GASKET,"",BANCO,"53606498PSSAL"
KSPG,MAIN BUSH,TATA,IRIS/ZIP,IRIS/ZIP,"",STD,KSPG,L.420.5.20.003
TALBROS,GASKETS,TATA,"1613",HALF GASKET,DYNA SEAL,"",TALBROS,HS1613DSXTCMK2
BANCO,GASKETS,CHEVROLET,TAVERA,MLS(STEEL),FULL GASKET,"",BANCO,"5340299900MLS"
BANCO,GASKETS,TATA,SUMO/MOBILE/SIERA/SAFAR,GNM,HEAD GASKET,"",BANCO,"5220460017GNM"
TIGER POWER,CYLINDER LINER,ASHOK LEYLAND,"400",PRE FINISHED,EURO,"2TH",TIGER POWER,K2000200681
JMP,SPRING LEAF BOLT,ASHOK LEYLAND,"",FRONT,"","22X82X18",JMP,JUB-121
BANCO,GASKETS,TATA,INDICA,SYR,VALVE COVER,"",BANCO,"5220421500SYR"
BANCO,GASKETS,TATA,CUMMINS BS1 / BS2,W/O VSS PQB,UPPER SET,"",BANCO,"5220529810PQB"
BANCO,GASKETS,TATA,CUMMINS BS 4,W/O VSS PQB,FULL GASKET,"",BANCO,"5220569920PQB"
KSPG,MAIN & CR BRG,MARUTI,ASTAR/ZEN ESTILO/ALTO K10,ASTAR/ZEN ESTILO/ALTO K10,"",STD,KSPG,P.165.0.00.003
RBL,BRAKE LINING,TATA,"608","12 HOLES",RD3205M,STD,RBL,IN/19/20/2 STD 260M
TALBROS,GASKETS,TATA,"697",HALF GASKET,DYNA SEAL,"",TALBROS,HS728DSXTCM
KSPG,MAIN BEARING,MAHINDRA,AVL,AVL (4CYL),"","10",KSPG,N.320.3.00.013
BANCO,GASKETS,MAHINDRA,PEUGEOT XDP-4,BANKITE,HALF GASKET,"",BANCO,"55803398PSBKT"
LEYPARTS,BRAKE,ASHOK LEYLAND,"",FRONT OUTER (535/532A),HUB BEARINGS,"",LEYPARTS,F0P02410
TALBROS,GASKETS,ASHOK LEYLAND,HINO,FULL GASKET,EXCEL,"",TALBROS,FS3088DSXNAWOS
KAR VALVES,VALVE,VST,TILLER,(AIR CLD),"",STD,KAR VALVES,KV1905-906
BANCO,GASKETS,CHEVROLET,ENJOY PETROL (4 CYL),MLS(STEEL),FULL GASKET,"",BANCO,"5340259900MLS"
LEYPARTS,FILTERS,ASHOK LEYLAND,"",HINO BS6,AIR FILTER,"",LEYPARTS,P5105688
IPL,VALVE,SIMPSON,P3,P3,"",STD,IPL,"712-VP08801"
IPL,PISTON SET,MAHINDRA,MDI 3200,MDI 3200,"","",IPL,"602-11354W-STD"
KSPG,CONNECTING BEARING,EICHER,CANTER,"6CYL","","30",KSPG,B.235.4.10.033
IPL,KITSET,MAHINDRA,MDI 3200,MDI 3200,"","",IPL,"622-113545964V/1-STD"
BANCO,GASKETS,MAHINDRA TRACTOR,"265/275 DI (3 CYL)",BANKITE,HALF GASKET,"",BANCO,"56581598PSBKT"
KSPG,MAIN BEARING,MARUTI,"1000 CC","1000CC","","30",KSPG,M.113.3.00.033
KSPG,CONNECTING BEARING,TATA,CUMMINS,CUMMINS (PRIMA),"","20",KSPG,B.245.4.30.023
LEYPARTS,GEARBOX,ASHOK LEYLAND,"",REVERSE,IDLER SHAFT,"",LEYPARTS,F0928415
KSPG,MAIN BEARING,EICHER,CANTER,"6CYL","","10",KSPG,M.235.4.10.013
SETCO,BRAKE LINING,ASHOK LEYLAND,"7 INCHES",REAR 10HOLES,SM,"1/32",SETCO,SL-XP-AL/TP/SM/3&4 (OS-1)
IPL,PISTON SET,MARUTI,K10 SERIES,K10 SERIES,"","",IPL,"602-10476W-STD"
LEYPARTS,ENGINE,ASHOK LEYLAND,"",HINO SERIES,VALVE CAP,"",LEYPARTS,F1130015
KSPG,CONNECTING BEARING,BAJAJ,OX-45,OX-45,"","10",KSPG,B.341.3.00.013
BANCO,GASKETS,HONDA,HONDA CITY TYPE (4 CYL),RUB,VALVE COVER,"",BANCO,"5230251500RUB"
BANCO,GASKETS,HYUNDAI,I 10 GRAND / X CENT,MLS(STEEL),HEAD GASKET,"",BANCO,"5224300000MLS"
TALBROS,CYL HEAD COVER,TATA,"697","","","",TALBROS,"27406"
KSPG,MAIN BEARING,TATA,"1612(697)","1612(697)","","30",KSPG,M.246.3.00.033
BANCO,GASKETS,MASSEY FERGUSON,MF 1035,COPPER / NON ASBESTOS,HEAD GASKET,"",BANCO,"5124190000CAC"
KAR VALVES,VALVE,MAHINDRA,HAWK,HAWK,"",STD,KAR VALVES,KV1245-246-8V
RBL,BRAKE LINING,ASHOK LEYLAND,ECOMET 1112,REAR 16 HOLES,RAF7,Jan-16,RBL,RBL/ECOMET/1112/2 1/16 RAF7
BANCO,GASKETS,MAHINDRA TRACTOR,INTERNATIONAL B275,BANKITE,HEAD GASKET,"",BANCO,"5658430009BKT"
TALBROS,GASKETS,MASSEY FERGUSON,MF 135,FULL GASKET,EXCEL,"",TALBROS,FS445DSXNA
TALBROS,GASKETS,MAHINDRA,BOLERO,HEAD GASKET,DYNA SEAL,"",TALBROS,"3101DSX2OS"
LEYPARTS,BRAKE,ASHOK LEYLAND,"",TRAILER,RELAY VALVE REPAIR KIT,"",LEYPARTS,P1012151
RBL,DISCPAD,MARUTI,CIAZ & DZIRE & RITZ & SWIFT,"","","",RBL,RBL/PDP/503
KSPG,CONNECTING BEARING,TATA,"1612(697)","1612(697)","","20",KSPG,B.217.4.00.023
RBL,BRAKE LINING,ASHOK LEYLAND,"5 INCHES",FRONT 8 HOLES,HF7,"01-Aug",RBL,RW/17/18/1 1/8 HF7
BANCO,GASKETS,TATA,CUMMINS BS 4,MLS(STEEL),HEAD GASKET,"",BANCO,"5220560000MLS"
TALBROS,GASKETS,TATA,INDICA,HEAD GASKET,EXCEL,"",TALBROS,"3085DSXNA1OS"
RBL,BRAKE SHOE,TATA,VISTA,"","","",RBL,RBL/BS/031
TALBROS,GASKETS,MARUTI,ALTO K10,FULL GASKET,MLS ( STEEL),"",TALBROS,FS3134MLS
KSPG,MAIN BEARING,TATA,CUMMINS,CUMMINS (REG),"","10",KSPG,N.245.3.00.013
BANCO,GASKETS,ASHOK LEYLAND,"370/411/412 BS II",HLT,MANIFOLD,"",BANCO,"5360645800HLT"
GOETZE,RING SET,EICHER,CANTER,EI/EII/EIII STL PREMIUN,"","",GOETZE,"6882STLPREM-SD"
LEYPARTS,GEARBOX,ASHOK LEYLAND,"","",BEARINGS,"",LEYPARTS,F0256610
BANCO,GASKETS,MAHINDRA,PEUGEOT XDP-4,SAL,HALF GASKET,"",BANCO,"55803398PSSAL"
RBL,BRAKE SHOE,MARUTI,"800 (BI TYPE)","","","",RBL,RBL/BS/001
LEYPARTS,ENGINE,ASHOK LEYLAND,"",EXHAUST MAINIFOLD BSIV,MANIFOLD,"",LEYPARTS,FFD00222
RBL,BRAKE LINING,ASHOK LEYLAND,"7 INCHES",REAR 10 HOLES,HF7,"1/16",RBL,AL/TP/SM/3&4 1/16 HF7
TALBROS,GASKETS,TATA,"1613",HALF GASKET,MLS ( STEEL),"",TALBROS,HS1613MLSMK2
BANCO,GASKETS,SIMPSON,S4,HLT,CHAMBER PACKING,"",BANCO,"5440291000HLT"
SETCO,CLUTCH,ASHOK LEYLAND,"14INCHES 14MM BUTTON","","","",SETCO,"140-009-L2327R"
KSPG,MAIN BEARING,ASHOK LEYLAND,DOST,DOST,"",STD,KSPG,M.298.0.00.003
RBL,BRAKE LINING,TATA,"407","12 HOLES","260M",STD,RBL,IN/19/20/1 STD 260M
KSPG,MAIN BEARING,TATA,"709","709","","30",KSPG,M.254.3.00.033
BANCO,GASKETS,MARUTI,ALTO 800CC,RUB,VALVE COVER,"",BANCO,"5231191500RUB"
LEYPARTS,CLUTCH,ASHOK LEYLAND,"",AL ECOMET 380DIA (HUB),CLUTCH RELEASE BEARING,"",LEYPARTS,F3431922
TALBROS,GASKETS,MARUTI,"800",HEAD GASKET,DYNA SEAL,"",TALBROS,"3040DSX"
RBL,BRAKE LINING,TATA,WTP,REAR 14 HOLES,R1203HLS,"1MM",RBL,RBL/WTP/2 1MM-R1203-HLS
BANCO,GASKETS,ASHOK LEYLAND,"370/411/412 BS II",PBP,SILENCER PACKING,"",BANCO,"5360643100PBP"
RBL,BRAKE LINING,ASHOK LEYLAND,"6 INCHES",REAR 8 HOLES,HF7,Jan-32,RBL,RW/19/20/1 1/32 HF7
TALBROS,TAPPET COVER,TATA,"1612","","","",TALBROS,"9915DSX"
KAR VALVES,VALVE,MARUTI,CELERIO,"5mm","",STD,KAR VALVES,KV1167-168-6V
KAR VALVES,VALVE,HYUNDAI,SANTRO,ERLX-1,"",STD,KAR VALVES,KV1229-230
LEYPARTS,CLUTCH,ASHOK LEYLAND,"","330DIA,BSIII/BSIV",FLYWHEEL ASSY,"",LEYPARTS,B3F00401
TIGER POWER,CYLINDER LINER,MARUTI,ERTIGA,SEMI FINISHED,PETROL,STD,TIGER POWER,K200290746K
IPL,PISTON RING SET,SIMPSON,P3,"5RV","","",IPL,"642-6466V/3-STD"
SETCO,FLYWHEEL RING,TATA,GB-60,"138T 4BOLT","","",SETCO,SFR-9010
KSPG,CONNECTING BUSH,MAN FORCE,MAN FORCE,MAN FORCE,"",STD,KSPG,S.384.5.00.703
KSPG,CONNECTING BEARING,TATA,ACE DICOR,ACE DICOR,"","10",KSPG,B.186.0.00.013
TRUCKPARTS-COOLANT,COOLANT,"","",RED(1:4),"","3LTR",TRUCKPARTS-COOLANT,TPC4-003(3L)-R
LEYPARTS,CLUTCH,ASHOK LEYLAND,"",ONLY BEARING,CLUTCH RELEASE BEARING,"",LEYPARTS,F0204100
KSPG,MAIN BEARING,MARUTI,WAGONR,WAGONR,"",STD,KSPG,M.135.0.00.003
TIGER POWER,CYLINDER LINER,FORD,FIESTA,SEMI FINISHED,FIESTA,STD,TIGER POWER,K2013800160
ANHAD,SCREW DRIVER,"", ,INSULATED  TWO IN ONE,"",ROD 6.0 X150  TIP 6.0X0.9,ANHAD,"00ASRI6150"
