Category,Sub Category,Vehicle Make,Model,Type,Part,Size,Brand,Item
KAR VALVES,VALVE,FORD,"3600","3600","","10",KAR VALVES,KV16970-6980
BANCO,GASKETS,MAHINDRA TRACTOR,INTERNATIONAL B275,AST,GEAR BOX KIT,"",BANCO,"5658439600AST"
BIMETAL,MAIN BEARING,ASHOK LEYLAND,LEYLAND,LEYLAND 370,"","30",BIMETAL,MS 475 030
TALBROS,GASKETS,TATA,"407",FULL GASKET,MLS ( STEEL),"",TALBROS,FS3045MLSMK2
RBL,BRAKE LINING,ASHOK LEYLAND,"7 INCHES",REAR 10 HOLES,HF7,"1/32",RBL,AL/TP/SM/3&4 1/32
TALBROS,GASKETS,CHEVROLET,TAVERA,FULL GASKET,MLS ( STEEL),"",TALBROS,FS3110MLS
USHA,PISTON RING SET,ASHOK LEYLAND,HINO,"6E/6D","","",USHA,"241 SSPR"
SVL,UJ KIT,TATA,"1109","","","",SVL,VDUJ0070L126L
TRUCKPARTS-COOLANT,COOLANT,"","",GREEN(1:4),"","1LTR",TRUCKPARTS-COOLANT,TPC4-001(1L)
KAR VALVES,VALVE,CATERPILLAR,"3412","1220321 FP","",STD,KAR VALVES,KV1964-2V
TALBROS QHT,TIE ROD,ASHOK LEYLAND,DOST,TIE ROD END,"","",TALBROS QHT,TRE07043PR
RBL,DISCPAD,MARUTI,A-STAR & EECO & VERSA,"","","",RBL,RBL/DP/035
TIGER POWER,CYLINDER LINER,ASHOK LEYLAND,"400",PRE FINISHED,EURO,"10TH",TIGER POWER,K2000200379
KSPG,CONNECTING BEARING,MARUTI,ZEN/EECO,ZEN/EECO,"","10",KSPG,B.116.0.00.013
BIMETAL,MAIN BEARING,TATA,"407","407","","10",BIMETAL,MS 288 010
TALBROS,GASKETS,KIRLOSKAR,"1040",HEAD GASKET,EXCEL,"",TALBROS,"3087DSXNAP"
LEYPARTS,GEARBOX,ASHOK LEYLAND,"",INPUT SHAFT OIL SEAL 5&6 SPEED,OIL SEAL,"",LEYPARTS,FA600150
TALBROS,GASKETS,TATA,"1612",HEAD GASKET,MLS ( STEEL),"",TALBROS,MLS728PC
LEYPARTS,GEARBOX,ASHOK LEYLAND,"","2ND GEAR -33TEETH",MAIN SHAFT GEARS,"",LEYPARTS,F1611211
RBL,BRAKE SHOE,MARUTI,WAGONR ( BI TYPE),"","","",RBL,RBL/BS/017
TALBROS,GASKETS,SONALIKA,"275DI",HEAD GASKET,EXCEL,"",TALBROS,"3089DSXNA"
KAR VALVES,VALVE,CATERPILLAR,"3306","3306","",STD,KAR VALVES,KV1942
KSPG,MAIN BEARING,SIMPSON,P6,P6,"","30",KSPG,N.212.5.00.033
LEYPARTS,FILTERS,ASHOK LEYLAND,"","1LTR (CLOTH)",DIESEL FILTER,"",LEYPARTS,F4000700
TALBROS,GASKETS,TATA,"692",HALF GASKET,DYNA SEAL,"",TALBROS,HS702DSXM
KSPG,MAIN BEARING,TATA,"1612(697)","1612(697)","","20",KSPG,M.246.3.00.023
BANCO,GASKETS,TATA,"1210",AST,OIL COOLER PACKING,"",BANCO,"5220627000AST"
SUPER PAC,GASKETS,TATA,CUMMINS BS-II,FULL GASKET,WITHOUT VALVE STEM SEALS,"",SUPER PAC,FS3156DSXNAWOS
KSPG,CONNECTING BEARING,MAHINDRA,PEUGEOT,PEUGEOT,"","30",KSPG,B.221.3.00.033
BANCO,GASKETS,TATA,ACE BSIII & IV,MLS(STEEL),HEAD GASKET,"",BANCO,"5220200000MLS"
BANCO,GASKETS,TATA,CUMMINS BS 3,BANCO EXTRA POWER,FULL GASKET,"",BANCO,"5220549920BEP"
BANCO,GASKETS,HONDA,HONDA CITY TYPE (4 CYL),MLS(STEEL),FULL GASKET,"",BANCO,"5230259900MLS"
TALBROS,GASKETS,MARUTI,WAGONR,FULL GASKET,DYNA SEAL,"",TALBROS,FS3168WOCS
IPL,PISTON RING SET,ASHOK LEYLAND,LEYLAND,"411/412 AL BS II","","",IPL,"642-9806Q-STD"
RBL,BRAKE LINING,MAHINDRA,SUPRO/JEETO,WITH RIVETS,"262","1/32",RBL,RBL/FC150/L&S (WR) 1/32 242
TIGER POWER,CYLINDER LINER,TOYOTA,QUALIS,SEMI FINISHED,MOLYGOLD,STD,TIGER POWER,K2005200168
LEYPARTS,GEARBOX,ASHOK LEYLAND,"","1ST 39T",MAINSHAFT GEAR,"",LEYPARTS,F1614711
TALBROS,GASKETS,MARUTI,ALTO,FULL GASKET,DYNA SEAL,"",TALBROS,FS3203WOCS
IPL,PISTON RING SET,ASHOK LEYLAND,LEYLAND,"370 ALFIN","","",IPL,"642-8839-STD"
BANCO,GASKETS,ASHOK LEYLAND,DOST,RUB,VALVE COVER,"",BANCO,"5360251500RUB"
KAR VALVES,VALVE,TATA,CUMMINS,BS III,"","3",KAR VALVES,KV8213-8223
IPL,PISTON RING SET,SIMPSON,S3,"5RV","","",IPL,"642-6724V-STD"
KSPG,MAIN BEARING,TATA,"407","407","","10",KSPG,M.236.3.0.013
SETCO,BRAKE LINING,EICHER,EICHER 3000 PRO,FRONT & REAR 4HOLES,"",STD,SETCO,SL-XP-EC155 (STD.)
BANCO,GASKETS,FORD TRACTOR,"3000/3600",BANKITE,HEAD GASKET,"",BANCO,"53520400PSBKT"
TALBROS QHT,BALL SUSPENSION JOINT,TATA,"1516",BALL SUSPENSION,"","",TALBROS QHT,BJ01001BRHPR
KSPG,CONNECTING BEARING,TATA,CUMMINS,CUMMINS (REG),"","20",KSPG,B.245.4.00.023
IPL,PISTON SET,SIMPSON,SAMRAT,"3RV","","",IPL,"602-12273W-STD"
LEYPARTS,ENGINE,ASHOK LEYLAND,"",HINO REG (S2),MAIN BEARING,"",LEYPARTS,P0914951
TALBROS,GASKETS,MAHINDRA,DI 3200,FULL GASKET,DYNA SEAL,"",TALBROS,FS3070MDIMK1WOC
SPICER,CENTER BEARING RUBBER,ASHOK LEYLAND,"1710 SERIES TUSKER","","","",SPICER,SDCB1710B
BANCO,GASKETS,MARUTI,ALTO 800CC,GAF,FULL GASKET,"",BANCO,"5231199900GAF"
TIGER POWER,CYLINDER LINER,ASHOK LEYLAND,HINO,PRE FINISHED,Y SLEEVE,STD,TIGER POWER,K2009501660
KSPG,CAM BUSH,MAHINDRA,SCORPIO,SCORPIO,"",STD,KSPG,C.333.5.10.703
KAR VALVES,VALVE,JCB,DIESEL MAX,DIESEL MAX,"","3",KAR VALVES,KV1175-176-3
TALBROS,GASKETS,TATA,"609/709",FULL GASKET,DYNA SEAL,"",TALBROS,FS609DSXCTCS
BANCO,GASKETS,TATA,SUMO/MOBILE/SIERA/SAFAR,BAF,HEAD GASKET,"",BANCO,"5220460016BAF"
KAR VALVES,VALVE,KOMATSU,"41Z4180357","41Z4180357","",STD,KAR VALVES,KV1865
KAR VALVES,VALVE,MARUTI,SWIFT,PETROL NEWMODEL,"",STD,KAR VALVES,KV1143-144
KSPG,MAIN BEARING,TATA,"1210","1210","","60",KSPG,M.207.3.01.063
BANCO,GASKETS,HYUNDAI,ACCENT PETROL,MLS(STEEL),HEAD GASKET,"",BANCO,"5224270000MLS"
BANCO,GASKETS,CHEVROLET,BEAT PETROL (4 CYL),RUB,VALVE COVER,"",BANCO,"5340261500RUB"
RBL,BRAKE LINING,ASHOK LEYLAND,"6 INCHES",FRONT 10 HOLES,HF7,"01-Aug",RBL,AL/TP/SM/7&8 1/8 HF7
KSPG,MAIN BEARING KIT,MARUTI,"800 (CAR)","800 (CAR)","","60",KSPG,P.110.3.30.063
LEYPARTS,FUEL INJECTION,ASHOK LEYLAND,"",HINO-E2,INJECTORS PIPE,"",LEYPARTS,B8787209
KAR VALVES,VALVE,ESCORT FORD,FAR FT45/60-15,FAR FT45/60-15,"",STD,KAR VALVES,KV167715-67815
TALBROS,GASKETS,TATA,ACE,HEAD GASKET,MLS ( STEEL),"",TALBROS,MLS3106PC
BANCO,GASKETS,MAHINDRA TRACTOR,INTERNATIONAL B275,HLT,VALVE COVER,"",BANCO,"5658434900HLT"
KSPG,MAIN BEARING,CHEVROLET,TAVERA,TAVERA,"",STD,KSPG,M.154.0.00.003
BANCO,GASKETS,BAJAJ,TEMPO/OM616/TRAX/MAX,PREMIUM RANGE,HEAD GASKET,"",BANCO,"5BEK27HG00"
